amplitudeForeHip amplitudeHindHip offsetForeHip offsetHindHip amplitudeForeKnee amplitudeHindKnee offsetKnee kneePhaseLag frequency duration distance angle stability
0.4 0.4 0.0667 -0.0667 0.4733 0.3467 0.2 0.8 2 15 1.16063 0.931349 495.567 
0.4 0.4 0.0667 -0.0667 0.4733 0.3267 0.2 0.8 2 2.846 0.351139 0.168874 445.414 
0.4 0.4 0.0667 -0.0667 0.4733 0.3067 0.2 0.8 2 15 0.642565 0.620633 474.415 
0.4 0.4 0.0667 -0.0667 0.4733 0.2867 0.2 0.8 2 2.678 0.0294191 0.165602 452.095 
0.4 0.4 0.0667 -0.0667 0.4733 0.2667 0.2 0.8 2 15 1.1437 0.731037 486.507 
0.4 0.4 0.0667 -0.0667 0.4733 0.2467 0.2 0.8 2 4.252 0.0910414 0.173414 470.88 
0.4 0.4 0.0667 -0.0667 0.4733 0.2267 0.2 0.8 2 15 0.804355 0.837964 493.189 
0.4 0.4 0.0667 -0.0667 0.4733 0.2067 0.2 0.8 2 12.69 0.0694887 0.173411 466.859 
0.4 0.4 0.0667 -0.0667 0.4733 0.1867 0.2 0.8 2 15 0.521534 0.705611 485.437 
0.4 0.4 0.0667 -0.0667 0.4733 0.1667 0.2 0.8 2 15 0.662708 0.746738 493.865 
0.4 0.4 0.0667 -0.0667 0.4533 0.5467 0.2 0.8 2 15 0.86898 0.773804 491.573 
0.4 0.4 0.0667 -0.0667 0.4533 0.5267 0.2 0.8 2 15 0.899512 0.809417 492.769 
0.4 0.4 0.0667 -0.0667 0.4533 0.5067 0.2 0.8 2 15 1.58697 0.809177 493.695 
0.4 0.4 0.0667 -0.0667 0.4533 0.4867 0.2 0.8 2 15 1.55988 0.89637 494.324 
0.4 0.4 0.0667 -0.0667 0.4533 0.4667 0.2 0.8 2 7.842 0.397293 0.164618 479.352 
0.4 0.4 0.0667 -0.0667 0.4533 0.4467 0.2 0.8 2 15 0.911866 0.77658 492.182 
0.4 0.4 0.0667 -0.0667 0.4533 0.4267 0.2 0.8 2 1.582 0.240667 0.171994 441.43 
0.4 0.4 0.0667 -0.0667 0.4533 0.4067 0.2 0.8 2 1.792 0.311482 0.167161 424.774 
0.4 0.4 0.0667 -0.0667 0.4533 0.3867 0.2 0.8 2 15 0.955602 0.672936 483.381 
0.4 0.4 0.0667 -0.0667 0.4533 0.3667 0.2 0.8 2 4.49 0.227208 0.172641 449.76 
0.4 0.4 0.0667 -0.0667 0.4533 0.3467 0.2 0.8 2 15 0 0.643777 477.974 
0.4 0.4 0.0667 -0.0667 0.4533 0.3267 0.2 0.8 2 15 0.655174 0.732307 492.893 
0.4 0.4 0.0667 -0.0667 0.4533 0.3067 0.2 0.8 2 2.42 0.231351 0.161832 427.156 
0.4 0.4 0.0667 -0.0667 0.4533 0.2867 0.2 0.8 2 1.394 0.136842 0.17251 406.334 
0.4 0.4 0.0667 -0.0667 0.4533 0.2667 0.2 0.8 2 8.696 0 0.165254 478.979 
0.4 0.4 0.0667 -0.0667 0.4533 0.2467 0.2 0.8 2 15 0.901681 0.890841 495.321 
0.4 0.4 0.0667 -0.0667 0.4533 0.2267 0.2 0.8 2 2.936 0.119516 0.170917 460.489 
0.4 0.4 0.0667 -0.0667 0.4533 0.2067 0.2 0.8 2 15 0.866019 0.698414 490.957 
0.4 0.4 0.0667 -0.0667 0.4533 0.1867 0.2 0.8 2 15 0.664958 0.717099 494.182 
0.4 0.4 0.0667 -0.0667 0.4533 0.1667 0.2 0.8 2 2.456 0.214955 0.172337 450.098 
0.4 0.4 0.0667 -0.0667 0.4333 0.5467 0.2 0.8 2 15 1.35323 0.836693 493.065 
0.4 0.4 0.0667 -0.0667 0.4333 0.5267 0.2 0.8 2 6.7 0.326335 0.172323 479.838 
0.4 0.4 0.0667 -0.0667 0.4333 0.5067 0.2 0.8 2 15 1.25984 0.73746 486.703 
0.4 0.4 0.0667 -0.0667 0.4333 0.4867 0.2 0.8 2 10.548 0.702488 0.172047 445.571 
0.4 0.4 0.0667 -0.0667 0.4333 0.4667 0.2 0.8 2 7.642 0.653616 0.168003 466.555 
0.4 0.4 0.0667 -0.0667 0.4333 0.4467 0.2 0.8 2 15 0 0.72876 488.855 
0.4 0.4 0.0667 -0.0667 0.4333 0.4267 0.2 0.8 2 15 0.920823 0.901684 493.751 
0.4 0.4 0.0667 -0.0667 0.4333 0.4067 0.2 0.8 2 15 1.04246 0.780627 490.061 
0.4 0.4 0.0667 -0.0667 0.4333 0.3867 0.2 0.8 2 3.05 0.120044 0.167222 451.269 
0.4 0.4 0.0667 -0.0667 0.4333 0.3667 0.2 0.8 2 8.26 0.787914 0.171543 476.098 
0.4 0.4 0.0667 -0.0667 0.4333 0.3467 0.2 0.8 2 12.708 0.710535 0.17128 485.885 
0.4 0.4 0.0667 -0.0667 0.4333 0.3267 0.2 0.8 2 2.032 0.129599 0.16912 437.716 
0.4 0.4 0.0667 -0.0667 0.4333 0.3067 0.2 0.8 2 15 0.770948 0.801426 491.707 
0.4 0.4 0.0667 -0.0667 0.4333 0.2867 0.2 0.8 2 4 0.146656 0.170835 456.022 
0.4 0.4 0.0667 -0.0667 0.4333 0.2667 0.2 0.8 2 8.722 0.512969 0.16153 487.06 
0.4 0.4 0.0667 -0.0667 0.4333 0.2467 0.2 0.8 2 15 0.895485 0.895426 495.529 
0.4 0.4 0.0667 -0.0667 0.4333 0.2267 0.2 0.8 2 15 0.648712 0.711085 493.149 
0.4 0.4 0.0667 -0.0667 0.4333 0.2067 0.2 0.8 2 5.906 0.375925 0.164063 439.365 
0.4 0.4 0.0667 -0.0667 0.4333 0.1867 0.2 0.8 2 15 0.617659 0.732397 493.241 
0.4 0.4 0.0667 -0.0667 0.4333 0.1667 0.2 0.8 2 15 0.953297 0.936726 496.35 
0.45 0.45 0.0667 -0.0667 0.8133 0.5467 0.2 0.8 2 9.78 0.00307885 0.173198 473.258 
0.45 0.45 0.0667 -0.0667 0.8133 0.5267 0.2 0.8 2 15 0 0.212853 349.834 
0.45 0.45 0.0667 -0.0667 0.8133 0.5067 0.2 0.8 2 3.512 0.241721 0.171148 467.976 
0.45 0.45 0.0667 -0.0667 0.8133 0.4867 0.2 0.8 2 8.73 0 0.169981 473.767 
0.45 0.45 0.0667 -0.0667 0.8133 0.4667 0.2 0.8 2 8.93 0.126572 0.172979 479.17 
0.45 0.45 0.0667 -0.0667 0.8133 0.4467 0.2 0.8 2 15 0 0.756967 483.075 
0.45 0.45 0.0667 -0.0667 0.8133 0.4267 0.2 0.8 2 6 0.0906676 0.173073 461.148 
0.45 0.45 0.0667 -0.0667 0.8133 0.4067 0.2 0.8 2 8.484 0.398078 0.169708 473.651 
0.45 0.45 0.0667 -0.0667 0.8133 0.3867 0.2 0.8 2 4.966 0.292339 0.173624 471.327 
0.45 0.45 0.0667 -0.0667 0.8133 0.3667 0.2 0.8 2 6.118 0 0.170772 460.663 
0.45 0.45 0.0667 -0.0667 0.8133 0.3467 0.2 0.8 2 3 0.201098 0.170295 436.211 
0.45 0.45 0.0667 -0.0667 0.8133 0.3267 0.2 0.8 2 7.45 0 0.16811 463.917 
0.45 0.45 0.0667 -0.0667 0.8133 0.3067 0.2 0.8 2 4.754 0 0.167624 454.045 
0.45 0.45 0.0667 -0.0667 0.8133 0.2867 0.2 0.8 2 1.448 0.136542 0.16792 447.088 
0.45 0.45 0.0667 -0.0667 0.8133 0.2667 0.2 0.8 2 1.736 0.145517 0.168113 429.23 
0.45 0.45 0.0667 -0.0667 0.8133 0.2467 0.2 0.8 2 1.982 0.206723 0.17331 416.524 
0.45 0.45 0.0667 -0.0667 0.8133 0.2267 0.2 0.8 2 15 0 0.210208 235.552 
0.45 0.45 0.0667 -0.0667 0.8133 0.2067 0.2 0.8 2 5.538 0.144278 0.16834 467.711 
0.45 0.45 0.0667 -0.0667 0.8133 0.1867 0.2 0.8 2 1.232 0.00340411 0.168397 429.516 
0.45 0.45 0.0667 -0.0667 0.8133 0.1667 0.2 0.8 2 15 1.4952 0.920148 496.072 
0.45 0.45 0.0667 -0.0667 0.7933 0.5467 0.2 0.8 2 15 0.304511 0.765811 487.067 
0.45 0.45 0.0667 -0.0667 0.7933 0.5267 0.2 0.8 2 4.618 0 0.171074 467.092 
0.45 0.45 0.0667 -0.0667 0.7933 0.5067 0.2 0.8 2 6.5 0.380361 0.17229 472.676 
0.45 0.45 0.0667 -0.0667 0.7933 0.4867 0.2 0.8 2 2.998 0.189994 0.171562 427.279 
0.45 0.45 0.0667 -0.0667 0.7933 0.4667 0.2 0.8 2 13.35 0.4562 0.169715 479.037 
0.45 0.45 0.0667 -0.0667 0.7933 0.4467 0.2 0.8 2 7.792 0.120783 0.172785 370.381 
0.45 0.45 0.0667 -0.0667 0.7933 0.4267 0.2 0.8 2 2.958 0.173098 0.171097 447.973 
0.45 0.45 0.0667 -0.0667 0.7933 0.4067 0.2 0.8 2 5.166 0 0.172369 451.886 
0.45 0.45 0.0667 -0.0667 0.7933 0.3867 0.2 0.8 2 9.314 0.380542 0.171001 475.194 
0.45 0.45 0.0667 -0.0667 0.7933 0.3667 0.2 0.8 2 2.294 0.0559018 0.172917 447.325 
0.45 0.45 0.0667 -0.0667 0.7933 0.3467 0.2 0.8 2 9.552 0 0.161531 469.734 
0.45 0.45 0.0667 -0.0667 0.7933 0.3267 0.2 0.8 2 2.766 0 0.171449 462.454 
0.45 0.45 0.0667 -0.0667 0.7933 0.3067 0.2 0.8 2 2.264 0 0.169413 430.74 
0.45 0.45 0.0667 -0.0667 0.7933 0.2867 0.2 0.8 2 4.242 0 0.1642 464.792 
0.45 0.45 0.0667 -0.0667 0.7933 0.2667 0.2 0.8 2 15 0 0.214876 232.645 
0.45 0.45 0.0667 -0.0667 0.7933 0.2467 0.2 0.8 2 1.828 0.225215 0.172317 427.064 
0.45 0.45 0.0667 -0.0667 0.7933 0.2267 0.2 0.8 2 3.786 0.112598 0.171314 452.692 
0.45 0.45 0.0667 -0.0667 0.7933 0.2067 0.2 0.8 2 15 1.85989 0.916557 496.254 
0.45 0.45 0.0667 -0.0667 0.7933 0.1867 0.2 0.8 2 15 1.05043 0.904918 493.6 
0.45 0.45 0.0667 -0.0667 0.7933 0.1667 0.2 0.8 2 15 1.59459 0.895408 495.816 
0.45 0.45 0.0667 -0.0667 0.7733 0.5467 0.2 0.8 2 10.416 0.0987239 0.170639 479.419 
0.45 0.45 0.0667 -0.0667 0.7733 0.5267 0.2 0.8 2 9.29 0 0.173318 479.631 
0.45 0.45 0.0667 -0.0667 0.7733 0.5067 0.2 0.8 2 5.268 0.398833 0.172671 455.56 
0.45 0.45 0.0667 -0.0667 0.7733 0.4867 0.2 0.8 2 8.868 0.628753 0.171329 461.171 
0.45 0.45 0.0667 -0.0667 0.7733 0.4667 0.2 0.8 2 11.04 0.301178 0.169621 476.733 
0.45 0.45 0.0667 -0.0667 0.7733 0.4467 0.2 0.8 2 3.522 0.180503 0.167914 463.82 
0.45 0.45 0.0667 -0.0667 0.7733 0.4267 0.2 0.8 2 3.442 0.219052 0.173555 469.162 
0.45 0.45 0.0667 -0.0667 0.7733 0.4067 0.2 0.8 2 6.732 0.549972 0.166123 478.31 
0.45 0.45 0.0667 -0.0667 0.7733 0.3867 0.2 0.8 2 11.492 0 0.173238 482.474 
0.45 0.45 0.0667 -0.0667 0.7733 0.3667 0.2 0.8 2 15 0.501714 0.722877 491.088 
0.45 0.45 0.0667 -0.0667 0.7733 0.3467 0.2 0.8 2 10.254 0.277145 0.17196 484.29 
0.45 0.45 0.0667 -0.0667 0.7733 0.3267 0.2 0.8 2 11.292 0.599188 0.169541 484.223 
0.45 0.45 0.0667 -0.0667 0.7733 0.3067 0.2 0.8 2 4.478 0 0.170602 442.522 
0.45 0.45 0.0667 -0.0667 0.7733 0.2867 0.2 0.8 2 7.234 0.354995 0.173632 474.947 
0.45 0.45 0.0667 -0.0667 0.7733 0.2667 0.2 0.8 2 15 2.30674 0.890742 497.428 
0.45 0.45 0.0667 -0.0667 0.7733 0.2467 0.2 0.8 2 1.946 0.175006 0.167204 460.69 
0.45 0.45 0.0667 -0.0667 0.7733 0.2267 0.2 0.8 2 4.418 0.132003 0.169241 456.694 
0.45 0.45 0.0667 -0.0667 0.7733 0.2067 0.2 0.8 2 1.486 0.0048817 0.167625 438.159 
0.45 0.45 0.0667 -0.0667 0.7733 0.1867 0.2 0.8 2 5.156 0.0859715 0.171322 460.369 
0.45 0.45 0.0667 -0.0667 0.7733 0.1667 0.2 0.8 2 2.262 0.129117 0.170651 432.32 
0.45 0.45 0.0667 -0.0667 0.7533 0.5467 0.2 0.8 2 15 0.349516 0.860226 489.099 
0.45 0.45 0.0667 -0.0667 0.7533 0.5267 0.2 0.8 2 15 0.35795 0.86678 488.355 
0.45 0.45 0.0667 -0.0667 0.7533 0.5067 0.2 0.8 2 6.564 0.0376278 0.172197 467.693 
0.45 0.45 0.0667 -0.0667 0.7533 0.4867 0.2 0.8 2 13.258 0.366507 0.173168 482.67 
0.45 0.45 0.0667 -0.0667 0.7533 0.4667 0.2 0.8 2 9.538 0.541528 0.17246 474.768 
0.45 0.45 0.0667 -0.0667 0.7533 0.4467 0.2 0.8 2 2.804 0.215582 0.173543 434.444 
0.45 0.45 0.0667 -0.0667 0.7533 0.4267 0.2 0.8 2 8.718 0 0.172577 479.144 
0.45 0.45 0.0667 -0.0667 0.7533 0.4067 0.2 0.8 2 9.284 0.737782 0.173338 470.287 
0.45 0.45 0.0667 -0.0667 0.7533 0.3867 0.2 0.8 2 15 2.47352 0.884986 496.966 
0.45 0.45 0.0667 -0.0667 0.7533 0.3667 0.2 0.8 2 3.452 0.130376 0.170145 464.214 
0.45 0.45 0.0667 -0.0667 0.7533 0.3467 0.2 0.8 2 15 1.91494 0.890308 496.283 
0.45 0.45 0.0667 -0.0667 0.7533 0.3267 0.2 0.8 2 9.282 0.773792 0.173001 475.89 
0.45 0.45 0.0667 -0.0667 0.7533 0.3067 0.2 0.8 2 15 2.09609 0.746579 492.677 
0.45 0.45 0.0667 -0.0667 0.7533 0.2867 0.2 0.8 2 1.984 0.214298 0.167799 457.265 
0.45 0.45 0.0667 -0.0667 0.7533 0.2667 0.2 0.8 2 12.608 0.60158 0.170488 478.391 
0.45 0.45 0.0667 -0.0667 0.7533 0.2467 0.2 0.8 2 15 2.01606 0.896522 496.794 
0.45 0.45 0.0667 -0.0667 0.7533 0.2267 0.2 0.8 2 15 1.31143 0.613356 486.889 
0.45 0.45 0.0667 -0.0667 0.7533 0.2067 0.2 0.8 2 15 1.79947 0.852801 496.104 
0.45 0.45 0.0667 -0.0667 0.7533 0.1867 0.2 0.8 2 15 1.45845 0.871703 495.683 
0.45 0.45 0.0667 -0.0667 0.7533 0.1667 0.2 0.8 2 2.014 0.169704 0.173173 433.639 
0.45 0.45 0.0667 -0.0667 0.7333 0.5467 0.2 0.8 2 11.074 0 0.171145 478.666 
0.45 0.45 0.0667 -0.0667 0.7333 0.5267 0.2 0.8 2 9.07 0.00639632 0.168591 476.631 
0.45 0.45 0.0667 -0.0667 0.7333 0.5067 0.2 0.8 2 15 0.412053 0.863873 488.451 
0.45 0.45 0.0667 -0.0667 0.7333 0.4867 0.2 0.8 2 9.534 0.169998 0.17069 480.305 
0.45 0.45 0.0667 -0.0667 0.7333 0.4667 0.2 0.8 2 15 1.19024 0.796595 492.28 
0.45 0.45 0.0667 -0.0667 0.7333 0.4467 0.2 0.8 2 8.058 0.46503 0.16991 481.712 
0.45 0.45 0.0667 -0.0667 0.7333 0.4267 0.2 0.8 2 15 0.750727 0.25959 468.341 
0.45 0.45 0.0667 -0.0667 0.7333 0.4067 0.2 0.8 2 15 2.09099 0.882474 496.915 
0.45 0.45 0.0667 -0.0667 0.7333 0.3867 0.2 0.8 2 3.052 0.158581 0.16904 462.742 
0.45 0.45 0.0667 -0.0667 0.7333 0.3667 0.2 0.8 2 15 1.18408 0.549429 486.213 
0.45 0.45 0.0667 -0.0667 0.7333 0.3467 0.2 0.8 2 3.004 0.219098 0.172592 437.319 
0.45 0.45 0.0667 -0.0667 0.7333 0.3267 0.2 0.8 2 15 0 0.250576 271.565 
0.45 0.45 0.0667 -0.0667 0.7333 0.3067 0.2 0.8 2 15 2.34634 0.889961 497.721 
0.45 0.45 0.0667 -0.0667 0.7333 0.2867 0.2 0.8 2 2.524 0.26557 0.171637 462.217 
0.45 0.45 0.0667 -0.0667 0.7333 0.2667 0.2 0.8 2 3.93 0.150769 0.167855 464.376 
0.45 0.45 0.0667 -0.0667 0.7333 0.2467 0.2 0.8 2 5.604 0.101357 0.170773 462.669 
0.45 0.45 0.0667 -0.0667 0.7333 0.2267 0.2 0.8 2 2.1 0.226009 0.171221 448.402 
0.45 0.45 0.0667 -0.0667 0.7333 0.2067 0.2 0.8 2 2.09 0.189198 0.17278 451.698 
0.45 0.45 0.0667 -0.0667 0.7333 0.1867 0.2 0.8 2 3.488 0 0.17344 451.453 
0.45 0.45 0.0667 -0.0667 0.7333 0.1667 0.2 0.8 2 4.032 0.0304413 0.17024 461.025 
0.45 0.45 0.0667 -0.0667 0.7133 0.5467 0.2 0.8 2 3.18 0.0456065 0.170339 451.813 
0.45 0.45 0.0667 -0.0667 0.7133 0.5267 0.2 0.8 2 15 0.627094 0.867283 490.511 
0.45 0.45 0.0667 -0.0667 0.7133 0.5067 0.2 0.8 2 3.798 0.186278 0.17267 457.185 
0.45 0.45 0.0667 -0.0667 0.7133 0.4867 0.2 0.8 2 6.568 0 0.170058 470.899 
0.45 0.45 0.0667 -0.0667 0.7133 0.4667 0.2 0.8 2 5.548 0.21153 0.172998 472.712 
0.45 0.45 0.0667 -0.0667 0.7133 0.4467 0.2 0.8 2 5.536 0.237039 0.171842 474.636 
0.45 0.45 0.0667 -0.0667 0.7133 0.4267 0.2 0.8 2 15 1.36874 0.636296 491.101 
0.45 0.45 0.0667 -0.0667 0.7133 0.4067 0.2 0.8 2 15 3.03222 0.87756 498.27 
0.45 0.45 0.0667 -0.0667 0.7133 0.3867 0.2 0.8 2 15 2.95025 0.881843 498.181 
0.45 0.45 0.0667 -0.0667 0.7133 0.3667 0.2 0.8 2 15 2.67601 0.883322 498.123 
0.45 0.45 0.0667 -0.0667 0.7133 0.3467 0.2 0.8 2 3.292 0.215557 0.173026 453.005 
0.45 0.45 0.0667 -0.0667 0.7133 0.3267 0.2 0.8 2 15 2.49653 0.886624 498.057 
0.45 0.45 0.0667 -0.0667 0.7133 0.3067 0.2 0.8 2 15 1.93635 0.591934 489.985 
0.45 0.45 0.0667 -0.0667 0.7133 0.2867 0.2 0.8 2 15 2.29033 0.913637 497.823 
0.45 0.45 0.0667 -0.0667 0.7133 0.2667 0.2 0.8 2 3.158 0 0.171403 448.853 
0.45 0.45 0.0667 -0.0667 0.7133 0.2467 0.2 0.8 2 1.724 0.12976 0.171075 426.273 
0.45 0.45 0.0667 -0.0667 0.7133 0.2267 0.2 0.8 2 15 1.32695 0.896536 494.165 
0.45 0.45 0.0667 -0.0667 0.7133 0.2067 0.2 0.8 2 2.018 0.221717 0.171658 456.889 
0.45 0.45 0.0667 -0.0667 0.7133 0.1867 0.2 0.8 2 4.526 0.411954 0.169247 468.084 
0.45 0.45 0.0667 -0.0667 0.7133 0.1667 0.2 0.8 2 3.522 0 0.172637 459.164 
0.45 0.45 0.0667 -0.0667 0.6933 0.5467 0.2 0.8 2 2.792 0.23196 0.172765 438.677 
0.45 0.45 0.0667 -0.0667 0.6933 0.5267 0.2 0.8 2 15 0.26189 0.645619 480.656 
0.45 0.45 0.0667 -0.0667 0.6933 0.5067 0.2 0.8 2 8.568 0.788397 0.172392 479.624 
0.45 0.45 0.0667 -0.0667 0.6933 0.4867 0.2 0.8 2 3.728 0 0.173206 461.227 
0.45 0.45 0.0667 -0.0667 0.6933 0.4667 0.2 0.8 2 11.34 0.245061 0.169759 482.202 
0.45 0.45 0.0667 -0.0667 0.6933 0.4467 0.2 0.8 2 11.452 1.32389 0.172713 488.398 
0.45 0.45 0.0667 -0.0667 0.6933 0.4267 0.2 0.8 2 15 2.60638 0.868816 497.707 
0.45 0.45 0.0667 -0.0667 0.6933 0.4067 0.2 0.8 2 5.524 0.0186237 0.172601 471.44 
0.45 0.45 0.0667 -0.0667 0.6933 0.3867 0.2 0.8 2 15 2.65688 0.877649 498.123 
0.45 0.45 0.0667 -0.0667 0.6933 0.3667 0.2 0.8 2 15 2.38845 0.884081 497.826 
0.45 0.45 0.0667 -0.0667 0.6933 0.3467 0.2 0.8 2 10.982 0.28065 0.170352 475.118 
0.45 0.45 0.0667 -0.0667 0.6933 0.3267 0.2 0.8 2 15 2.46885 0.889685 498.016 
0.45 0.45 0.0667 -0.0667 0.6933 0.3067 0.2 0.8 2 15 2.37506 0.893485 497.973 
0.45 0.45 0.0667 -0.0667 0.6933 0.2867 0.2 0.8 2 2.604 0.0729594 0.17084 449.244 
0.45 0.45 0.0667 -0.0667 0.6933 0.2667 0.2 0.8 2 15 1.62277 0.776346 494.85 
0.45 0.45 0.0667 -0.0667 0.6933 0.2467 0.2 0.8 2 4.202 0.235954 0.165787 462.716 
0.45 0.45 0.0667 -0.0667 0.6933 0.2267 0.2 0.8 2 15 1.63574 0.891473 496.305 
0.45 0.45 0.0667 -0.0667 0.6933 0.2067 0.2 0.8 2 4.068 0.179543 0.172842 453.652 
0.45 0.45 0.0667 -0.0667 0.6933 0.1867 0.2 0.8 2 3.106 0.251351 0.173377 459.383 
0.45 0.45 0.0667 -0.0667 0.6933 0.1667 0.2 0.8 2 5.036 0.466409 0.170889 472.956 
0.45 0.45 0.0667 -0.0667 0.6733 0.5467 0.2 0.8 2 15 0 0.869168 488.547 
0.45 0.45 0.0667 -0.0667 0.6733 0.5267 0.2 0.8 2 4.476 0.361933 0.168747 457.837 
0.45 0.45 0.0667 -0.0667 0.6733 0.5067 0.2 0.8 2 15 1.56728 0.87746 495.17 
0.45 0.45 0.0667 -0.0667 0.6733 0.4867 0.2 0.8 2 15 1.00428 0.673384 488.623 
0.45 0.45 0.0667 -0.0667 0.6733 0.4667 0.2 0.8 2 1.47 0.20623 0.170958 447.09 
0.45 0.45 0.0667 -0.0667 0.6733 0.4467 0.2 0.8 2 4.466 0.399823 0.168131 473.05 
0.45 0.45 0.0667 -0.0667 0.6733 0.4267 0.2 0.8 2 1.486 0.165793 0.17208 447.317 
0.45 0.45 0.0667 -0.0667 0.6733 0.4067 0.2 0.8 2 1.454 0.273346 0.173522 444.318 
0.45 0.45 0.0667 -0.0667 0.6733 0.3867 0.2 0.8 2 1.514 0.242339 0.166722 392.35 
0.45 0.45 0.0667 -0.0667 0.6733 0.3667 0.2 0.8 2 15 2.55991 0.882971 498.281 
0.45 0.45 0.0667 -0.0667 0.6733 0.3467 0.2 0.8 2 15 2.42835 0.889678 498.029 
0.45 0.45 0.0667 -0.0667 0.6733 0.3267 0.2 0.8 2 15 2.33787 0.891473 497.981 
0.45 0.45 0.0667 -0.0667 0.6733 0.3067 0.2 0.8 2 15 1.64238 0.615347 491.94 
0.45 0.45 0.0667 -0.0667 0.6733 0.2867 0.2 0.8 2 15 1.8435 0.903025 496.981 
0.45 0.45 0.0667 -0.0667 0.6733 0.2667 0.2 0.8 2 14.132 0 0.170681 488.626 
0.45 0.45 0.0667 -0.0667 0.6733 0.2467 0.2 0.8 2 5.304 0.11742 0.173322 474.883 
0.45 0.45 0.0667 -0.0667 0.6733 0.2267 0.2 0.8 2 15 1.1474 0.895414 495.045 
0.45 0.45 0.0667 -0.0667 0.6733 0.2067 0.2 0.8 2 15 1.28254 0.730651 492.839 
0.45 0.45 0.0667 -0.0667 0.6733 0.1867 0.2 0.8 2 15 1.28689 0.888827 496.331 
0.45 0.45 0.0667 -0.0667 0.6733 0.1667 0.2 0.8 2 2.396 0.0239547 0.169886 455.81 
0.45 0.45 0.0667 -0.0667 0.6533 0.5467 0.2 0.8 2 15 1.62279 0.877149 494.644 
0.45 0.45 0.0667 -0.0667 0.6533 0.5267 0.2 0.8 2 15 0.754394 0.845813 492.112 
0.45 0.45 0.0667 -0.0667 0.6533 0.5067 0.2 0.8 2 9.046 0.898978 0.171907 483.498 
0.45 0.45 0.0667 -0.0667 0.6533 0.4867 0.2 0.8 2 15 1.26058 0.862591 493.196 
0.45 0.45 0.0667 -0.0667 0.6533 0.4667 0.2 0.8 2 1.46 0.231389 0.171449 439.316 
0.45 0.45 0.0667 -0.0667 0.6533 0.4467 0.2 0.8 2 1.458 0.152762 0.171762 444.232 
0.45 0.45 0.0667 -0.0667 0.6533 0.4267 0.2 0.8 2 15 2.49655 0.752452 495.514 
0.45 0.45 0.0667 -0.0667 0.6533 0.4067 0.2 0.8 2 15 2.29962 0.746263 495.418 
0.45 0.45 0.0667 -0.0667 0.6533 0.3867 0.2 0.8 2 1.826 0.143772 0.169596 406.001 
0.45 0.45 0.0667 -0.0667 0.6533 0.3667 0.2 0.8 2 1.518 0.206892 0.1732 393.352 
0.45 0.45 0.0667 -0.0667 0.6533 0.3467 0.2 0.8 2 1.192 0.0329063 0.168577 419.219 
0.45 0.45 0.0667 -0.0667 0.6533 0.3267 0.2 0.8 2 15 1.74556 0.583126 489.116 
0.45 0.45 0.0667 -0.0667 0.6533 0.3067 0.2 0.8 2 2.498 0.256637 0.172863 401.851 
0.45 0.45 0.0667 -0.0667 0.6533 0.2867 0.2 0.8 2 15 1.63588 0.877039 496.775 
0.45 0.45 0.0667 -0.0667 0.6533 0.2667 0.2 0.8 2 15 1.52341 0.864399 496.779 
0.45 0.45 0.0667 -0.0667 0.6533 0.2467 0.2 0.8 2 3.464 0.199084 0.17138 463.876 
0.45 0.45 0.0667 -0.0667 0.6533 0.2267 0.2 0.8 2 3.808 0.0312446 0.16664 457.776 
0.45 0.45 0.0667 -0.0667 0.6533 0.2067 0.2 0.8 2 15 1.15528 0.885917 496.26 
0.45 0.45 0.0667 -0.0667 0.6533 0.1867 0.2 0.8 2 4.536 0 0.169259 456.398 
0.45 0.45 0.0667 -0.0667 0.6533 0.1667 0.2 0.8 2 15 1.27495 0.962439 496.768 
0.45 0.45 0.0667 -0.0667 0.6333 0.5467 0.2 0.8 2 15 1.13945 0.835493 492.065 
0.45 0.45 0.0667 -0.0667 0.6333 0.5267 0.2 0.8 2 15 1.16789 0.760527 485.875 
0.45 0.45 0.0667 -0.0667 0.6333 0.5067 0.2 0.8 2 15 1.85319 0.887488 493.81 
0.45 0.45 0.0667 -0.0667 0.6333 0.4867 0.2 0.8 2 15 1.16591 0.873217 494.741 
0.45 0.45 0.0667 -0.0667 0.6333 0.4667 0.2 0.8 2 1.53 0.223538 0.169839 444.596 
0.45 0.45 0.0667 -0.0667 0.6333 0.4467 0.2 0.8 2 1.454 0.188981 0.169003 445.297 
0.45 0.45 0.0667 -0.0667 0.6333 0.4267 0.2 0.8 2 2.806 0.00390096 0.169047 447.286 
0.45 0.45 0.0667 -0.0667 0.6333 0.4067 0.2 0.8 2 15 2.18283 0.73907 494.977 
0.45 0.45 0.0667 -0.0667 0.6333 0.3867 0.2 0.8 2 15 1.00365 0.628 485.121 
0.45 0.45 0.0667 -0.0667 0.6333 0.3667 0.2 0.8 2 0.99 0.020191 0.162372 417.536 
0.45 0.45 0.0667 -0.0667 0.6333 0.3467 0.2 0.8 2 1.026 0.134362 0.163585 400.926 
0.45 0.45 0.0667 -0.0667 0.6333 0.3267 0.2 0.8 2 1.314 0.0121647 0.172736 415.158 
0.45 0.45 0.0667 -0.0667 0.6333 0.3067 0.2 0.8 2 1.856 0.0678941 0.172331 428.264 
0.45 0.45 0.0667 -0.0667 0.6333 0.2867 0.2 0.8 2 5.08 0.282953 0.168371 471.359 
